Date,Description,Short Description
2024-09-12,"According to Cointelegraph, the TIME Magazine reporter who conducted one of the first foreign correspondent interviews with El Salvador President Nayib Bukele in three years has suggested that his push for Bitcoin as legal tender was more about image than substance. In an interview with Crooked Media’s Pod Save the World released on Sept. 11, Vera Bergengruen reported that Bukele’s advisers referred to Bitcoin (BTC) adoption in El Salvador as a “great rebranding” and “complete PR [public relations] move.” Bukele briefly led his family’s PR firm before moving into politics, becoming the Mayor of Nuevo Cuscatlán, Mayor of San Salvador, and president of El Salvador. “I think the most important thing [...] is his past as a publicist,” said Bergengruen, referring to Bukele. “It’s important to understand from Bitcoin to the war on the gangs, everything he does he’s kind of image first, results later oriented.” She added that Bitcoin was never really meant to be adopted to significantly change Salvadorans’ economic situation. Many in the crypto industry began paying attention to El Salvador and Bukele starting in 2021 after the president announced plans to recognize BTC as a legal tender. According to Bergengruen, the announcement was the first for the industry and the public in El Salvador, resulting in Bukele’s team having to “backtrack” and promote potential benefits of Bitcoin, like foreign remittances. “It was chaos from the start, but they needed to kind of at least pretend that it was really going to help El Salvador,” said Bergengruen. “It was very obvious that it was kind of for tourists, for foreigners, for [Bukele] to have something to talk about that changes the narrative. If that was the goal, they have been successful.” Bukele initially pushed for creating a volcano-powered “Bitcoin City” in the country, but the program was not completed more than three years later. He regularly posts on social media about using El Salvador’s funds to purchase BTC. According to Bergengruen’s interview, the president reported having roughly $400 million in the country’s “public wallet alone.” Bukele will serve as El Salvador’s president in his current term until 2029.",Time Magazine reporter Vera Bergengruen believes El Salvador's President Nayib Bukele's push for Bitcoin as legal tender was more about image than substance. She claims that Bitcoin was never meant to significantly change Salvadorans’ economic situation. The president will serve as El Salvador’s president until 2029.
2024-09-12,"On Sep 12, 2024, 18:53 PM(UTC). According to Binance Market Data, Bitcoin has dropped below 58,000 USDT and is now trading at 57,972 USDT, with a narrowed narrowed 0.87% increase in 24 hours.","Bitcoin has dropped below 58,000 USDT and is now trading at 57,972 USDT with a narrowed narrowed 0.87% increase in 24 hours. Bitcoin is trading at 18:53 PM(UTC) on Sep 12, 2024, 18."
2024-09-12,"According to Odaily, data from mempool.space indicates that transaction fees on the Fractal Bitcoin mainnet are steadily increasing. Several blocks have seen fees surpassing 2400 Sat/byte, with the current network fees reaching 2291 Sat/byte.","According to data from mempool.space, transaction fees on the Fractal Bitcoin mainnet are steadily increasing. Several blocks have seen fees surpassing 2400 Sat/byte. The current network fees are 2291 Sat-byte per block, according to the data from Odaily."
2024-09-12,"According to BlockBeats, on September 12, Arkham monitoring revealed that Grayscale addresses transferred 763.785 BTC, valued at approximately $44.05 million, to an unmarked address 26 minutes prior. Additionally, Grayscale Bitcoin Mini Trust transferred 700 BTC, worth around $40.37 million, to an unmarked address 26 minutes earlier.",Grayscale addresses transferred 763.785 BTC worth $44.05 million to an unmarked address 26 minutes earlier. Grayscale Bitcoin Mini Trust transferred 700 BTC worth around $40.37 million to a different address. BlockBeats monitored the transactions on September 12.
2024-09-12,"According to BlockBeats, on September 12, QCP Capital released a report highlighting that the recently announced U.S. Consumer Price Index (CPI) data met expectations, with the core CPI rising slightly month-over-month to 0.3%, surpassing the forecasted 0.2%. This development has increased the likelihood of a 25 basis point rate cut by the Federal Reserve to 85%, marking the highest probability in a month. In the cryptocurrency market, Bitcoin (BTC) rebounded from its intraday low, climbing back above $57,000, indicating strong demand and growing bullish sentiment. This optimism is reflected in options activity, with a growing number of investors purchasing call options expiring between October and December. This week, BTC volatility decreased by 12 points due to the impact of the CPI data release and the presidential debate. With no significant macroeconomic events on the horizon, it is anticipated that volatility will continue to decline ahead of next week's Federal Reserve meeting. Given the upcoming rate cut and the U.S. presidential election, which are significant economic events, the market is building momentum.","The recently announced U.S. Consumer Price Index (CPI) data met expectations and the core CPI rose slightly month-over-month to 0.3%, surpassing the forecasted 0.2%. This development has increased the likelihood of a 25 basis point rate cut by the Federal Reserve to 85%. Bitcoin has rebounded from its intraday low, climbing back above"
2024-09-12,"According to CoinDesk, RootstockCollective has been introduced as the first decentralized autonomous organization (DAO) on Bitcoin layer-2 Rootstock. This new DAO will enable holders of the Rootstock token RIF to earn voting rights by staking their tokens. The launch signifies a continuation of concepts typically associated with Ethereum making their way to Bitcoin, the world's oldest blockchain. DAOs are blockchain-based organizations where decisions are made by token holders rather than a central authority. While DAOs are prevalent on networks like Ethereum and Solana, they have been largely absent from Bitcoin due to its programmability constraints. Rootstock, a layer-2 network, aims to enhance Bitcoin's utility and is compatible with Ethereum's EVM programming standard for smart contracts. This compatibility allows applications originally built on Ethereum or related chains to be easily transferred to Rootstock. The trend of building on Bitcoin gained traction in early 2023 with the Ordinals protocol, which introduced a Bitcoin version of non-fungible tokens (NFTs). This trend has continued with the introduction of memecoins and other fungible tokens on the Runes protocol, and the BitVM computing paradigm, which facilitates smart contracts on Bitcoin. The RootstockCollective DAO aims to encourage builders and users of Rootstock by allowing RIF token holders to stake their tokens and earn voting rights. Staking involves users locking away their tokens to participate in the blockchain's verification process and receiving additional tokens as a reward.",RootstockCollective has been introduced as the first decentralized autonomous organization (DAO) on Bitcoin layer-2 Rootstock. The new DAO allows Rootstock token holders to earn voting rights by staking their tokens. The DAO is compatible with the EVM programming standard for smart contracts.
2024-09-12,"According to Odaily, Anchorage Digital has announced that it will offer custody services for 21Shares' spot Bitcoin and Ethereum ETFs. The company will implement biometric authentication for issuers and participants involved in the crypto ETFs to enhance security.",Anchorage Digital has announced it will offer custody services for 21Shares' spot Bitcoin and Ethereum ETFs. The company will implement biometric authentication for issuers and participants involved in the crypto ETFs to enhance security. The service will be available for Bitcoin and Etherium.
2024-09-12,"On Sep 12, 2024, 10:31 AM(UTC). According to Binance Market Data, Bitcoin has dropped below 58,000 USDT and is now trading at 57,996 USDT, with a narrowed narrowed 2.48% increase in 24 hours.","Bitcoin has dropped below 58,000 USDT and is now trading at 57,996 USDT, with a narrowed narrowed 2.48% increase in 24 hours. Bitcoin is trading at 10:31 AM(UTC) on Sep 12, 2024, 10:30 AM(GMT)."
2024-09-12,"According to BlockBeats, on September 12, UniSat officially announced the launch of its iOS application on the App Store. The new app aims to provide seamless Bitcoin management along with several advanced features for users. The main features of the UniSat iOS version include support for the Fractal Bitcoin mainnet, enabling convenient and instant inscription and trading of BRC20 and Runes inscriptions upon activation. Additionally, the app allows for smooth switching between accounts and wallets, and offers one-click transfer functions for Bitcoin, inscriptions, and Runes.",UniSat has launched its iOS app on the App Store on September 12th. The new app aims to provide seamless Bitcoin management along with several advanced features for users. The main features of the UniSat iOS version include support for the Fractal Bitcoin mainnet and instant inscription and trading of BRC20 and Runes inscriptions upon activation.
2024-09-12,"According to Foresight News, monitoring by Spot On Chain reveals that the government of El Salvador has been purchasing one Bitcoin daily for 665 consecutive days, unaffected by market fluctuations. Currently, the government holds 5,871 Bitcoins, valued at approximately $342 million. Of these, 3,046 Bitcoins have been publicly disclosed, with an average purchase price of $43,888 per Bitcoin.","The government of El Salvador has been buying 5,871 Bitcoins daily for 665 consecutive days at an average price of $43,888 per Bitcoin. The government holds about $342 million worth of Bitcoins, valued at approximately $1.5 million each."
