Date,Description,Short Description
2024-09-12,"Digital-trading platform eToro USA agreed to pay a $1.5 million fine and limit its crypto offerings to just three tokens, as part of a settlement with the Securities and Exchange Commission. The move is part of a broader battle between the crypto industry and the SEC over which tokens meet the definition of securities, which the agency regulates. SEC Chair Gary Gensler has said almost all cryptocurrencies are securities."," eToro USA has agreed to limit its crypto offerings to three tokens as part of a settlement with the Securities and Exchange Commission. The move is part of the battle between the crypto industry and the SEC over which tokens meet the definition of securities, which the agency regulates."
2024-09-12,"High-leverage liquidity in bitcoin is concentrated at around $58,500, according to Hyblock Capital."," in bitcoin is concentrated at around $58,500, according to Hyblock Capital's data. The highest liquidity in bitcoin at $1.5k.  is $58k, $1,500k, and $1k,000,000. "
2024-09-11,"The Kamala Harris-Donald Trump debate sent ripples through markets Wednesday, with investors positioning for a higher likelihood of a Harris election victory. + **Trump Media & Technology Group** fell about 10% to $16.",The Kamala Harris-Donald Trump debate sent ripples through the markets Wednesday. Trump Media & Technology Group fell about 10% to $16. Harris is running for the US Senate and is expected to win the election. The shares of Trump Media and Technology Group also fell 10%.
2024-09-11,"US stocks (^DJI, ^IXIC, ^GSPC) were trading lower on Wednesday morning as investors digested August's Consumer Price Index (CPI) report. Morning Brief hosts Seana Smith and Brad Smith are joined by top Wall Street and economic experts to take in the fresh data print and observe market moves. BMO Capital Markets senior economist Jennifer Lee and Yardeni Research chief markets strategist Eric Wallerstein sit down with the Morning Brief team to break down the CPI report. CPI was roughly in line with expectations, though the housing sector saw some “mysterious” stickiness, UBS senior economist Brian Rose tells Yahoo Finance. Wells Fargo Investment Institute senior global market strategist Scott Wren says that with the Federal Reserve expected to cut interest rates next week, investors shouldn't get too caught up in the 25 or 50-basis-point debate. After Vice President Kamala Harris and former President Donald Trump met on Tuesday night at the pair’s first presidential debate, Trump Media (DJT, DJTWW), bitcoin (BTC-USD), and solar stocks (FSLR, RUN, ENPH) reacted in response to the candidates' performances. JPMorgan (JPM) and GameStop (GME) are among the top trending stocks on the Yahoo Finance platform, along with Manchester United (MANU) and Dave & Buster's (PLAY). This post was written by Naomi Buchanan.","US stocks are trading lower on Wednesday morning as investors digested August's Consumer Price Index (CPI) report. Top Wall Street and economic experts discuss the data print and observe market moves. The Federal Reserve is expected to cut interest rates next week. Trump Media, bitcoin, solar stocks and solar stocks react to the candidates' performances."
2024-09-11,Trump trades slumped following Tuesday's presidential debate.,"Trump trades slumped following Tuesday's presidential debate and the fall in the stock market. The stock market is now back to its pre-debate trading levels. The exchange rate is now at $1.50 per share, down from $1 per share before the debate."
2024-09-11,Harris and Trump may not have mentioned crypto. But crypto folk had plenty to say about the presidential debate Tuesday night.,"Harris and Trump had plenty to say about the presidential debate Tuesday night. They didn't mention crypto, but crypto folk had a lot to say on the subject. They are not against crypto. They think it's a valuable technology.  . They have a lot of opinions about the debate."
2024-09-11,Trump Media & Technology Group stock plunged as much as 18% on Wednesday to a record low since going public in March.,Trump Media & Technology Group stock plunged as much as 18% on Wednesday to a record low since going public in March. The stock has since recovered to a new record low of 8.5% on Thursday. The company is owned by Trump Media and Technology Group.
2024-09-11,"Shares of Trump Media and Technology Group (DJT) are plummeting Wednesday morning, following the presidential debate between Vice President Kamala Harris and former President Donald Trump. Many viewers believe Harris emerged as the stronger performer in the debate. As a result, the stock is now hovering near its lows. The cryptocurrency market is also feeling the impact, with bitcoin (BTC-USD) and related stocks such as MicroStrategy (MSTR) and Coinbase (COIN) on the move. For more expert insight and the latest market action, click here to watch this full episode of Morning Brief. This post was written by Angel Smith","Shares of Trump Media and Technology Group (DJT) are plummeting Wednesday morning, following the presidential debate between Vice President Kamala Harris and former President Donald Trump. The cryptocurrency market is also feeling the impact, with bitcoin and related stocks such as MicroStrategy (MSTR) and Coinbase (COIN)."
2024-09-11,"(Bloomberg) -- Bitcoin slid as investors reacted to the US presidential debate between Democratic nominee Kamala Harris and Republican rival Donald Trump, who has embraced the crypto sector.Most Read from BloombergHow Americans Voted Their Way Into a Housing CrisisAfter a Record Hot Summer, Pressure Grows for A/C MandatesChicago Halts Hiring as Deficit Tops $1 Billion Through 2025For Tenants, AI-Powered Screening Can Be a New Barrier to HousingUC Berkeley Gives Transfer Students a Purpose-Built",Bitcoin slides as investors react to the US presidential debate between Democratic nominee Kamala Harris and Republican rival Donald Trump. Most read from Bloomberg: Americans voted their way into a housing crisis. Chicago halts hiring as the city's deficit tops $1 billion through 2025.
2024-09-11,"Stock futures (ES=F, NQ=F, YM=F) are falling in Wednesday's pre-market trading after August's Consumer Price Index (CPI) came in-line with August estimates. Prices rose by 0.2% month-over-month and 2.5% year-over-year. Vice President Kamala Harris and former President Donald Trump met on the debate stage Tuesday night in the first presidential debate ahead of the 2024 election. The candidates butted heads on major policy platforms, including the US economy, inflation, and tariffs. Trump Media & Technology Group (DJT, DJTWW), bitcoin (BTC-USD), and notable solar stocks (FSLR, RUN, ENPH) are reacting to last night's debate performances. For more expert insight and the latest market action, click&nbsp;here&nbsp;to watch this full episode of Morning Brief. This post was written by Luke Carberry Mogan.",Stock futures are falling in Wednesday's pre-market trading after August's Consumer Price Index (CPI) came in-line with August estimates and prices rose by 0.2% month-over-month and 2.5% year-on-year. Last night's presidential debate was the first presidential debate ahead of the 2024 election. The candidates butted heads on major policy
